Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1924,-.23,-.24,-.09,-.31,-.19,-.27,-.30,-.37,-.33,-.36,-.21,-.44,-.28,-.24,-.17,-.20,-.31,-.30
1925,-.39,-.40,-.28,-.26,-.30,-.33,-.28,-.21,-.20,-.18,.05,.06,-.23,-.27,-.41,-.28,-.27,-.11
1926,.20,.02,.11,-.13,-.24,-.27,-.28,-.14,-.15,-.12,-.07,-.30,-.11,-.08,.09,-.09,-.23,-.11
1927,-.28,-.18,-.39,-.31,-.26,-.28,-.19,-.24,-.13,-.01,-.06,-.34,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.03,-.10,-.25,-.28,-.30,-.39,-.20,-.23,-.21,-.19,-.11,-.17,-.21,-.22,-.16,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.15,-.12,-.55,-.37,-.33,-.40,-.38,-.38,-.18
1930,-.31,-.27,-.11,-.25,-.24,-.22,-.22,-.16,-.16,-.12,.16,-.06,-.16,-.20,-.38,-.20,-.20,-.04
1931,-.11,-.21,-.11,-.23,-.20,-.08,-.04,-.04,-.07,.06,-.06,-.06,-.10,-.10,-.13,-.18,-.05,-.02
1932,.15,-.17,-.18,-.06,-.18,-.29,-.25,-.22,-.10,-.09,-.27,-.27,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.24,-.30,-.30,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.31,-.45,-.29,-.27,-.27,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.15,-.06,.03,-.03,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.08,-.27,-.24,-.18
1936,-.28,-.38,-.21,-.20,-.16,-.22,-.10,-.14,-.09,-.03,.01,-.01,-.15,-.16,-.28,-.19,-.15,-.04
1937,-.08,.03,-.21,-.16,-.06,-.05,-.04,.01,.09,.09,.08,-.08,-.03,-.03,-.02,-.14,-.02,.08
1938,.08,.04,.09,.06,-.10,-.17,-.09,-.06,.00,.14,.07,-.13,.00,.00,.01,.02,-.11,.07
1939,-.06,-.07,-.18,-.11,-.05,-.07,-.06,-.06,-.07,-.04,.07,.42,-.02,-.07,-.08,-.11,-.06,-.02
1940,-.01,.08,.09,.17,.10,.11,.12,.06,.15,.10,.16,.31,.12,.13,.16,.12,.10,.14
1941,.17,.30,.10,.16,.17,.13,.22,.14,.02,.35,.22,.21,.18,.19,.26,.14,.16,.19
1942,.29,.02,.05,.09,.10,.04,.00,-.04,-.03,.01,.09,.12,.06,.07,.17,.08,.00,.02
1943,-.01,.17,-.04,.11,.06,-.06,.08,.00,.05,.23,.19,.23,.08,.08,.09,.04,.01,.16
1944,.35,.24,.26,.19,.18,.15,.17,.18,.28,.26,.11,.03,.20,.22,.27,.21,.17,.22
1945,.10,.01,.06,.19,.06,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.22,-.12,-.20,-.08,-.08,-.06,-.31,-.08,-.06,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.02,-.14,-.03,-.04,-.15,.03,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.13,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.07,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.11
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.21,-.34,-.22,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.35,-.42,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.33,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.25,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.07,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.25,-.19,-.23,-.15,-.07,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.08,.01,.08,.15,.05,.03,-.06,.01,.11,.06
